0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00
4.01Mbits/sec,4.69Mbits/sec,2.09Mbits/sec,1.04Mbits/sec,2.08Mbits/sec,2.09Mbits/sec,2.08Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec
4.29Mbits/sec,2.09Mbits/sec,1.04Mbits/sec,3.13Mbits/sec,2.08Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec
5.76Mbits/sec,4.17Mbits/sec,3.13Mbits/sec,4.17Mbits/sec,7.82Mbits/sec,3.13Mbits/sec,4.69Mbits/sec,3.13Mbits/sec,4.69Mbits/sec,3.13Mbits/sec
27.7Mbits/sec,26.6Mbits/sec,33.9Mbits/sec,38.6Mbits/sec,42.2Mbits/sec,48.0Mbits/sec,50.6Mbits/sec,48.5Mbits/sec,49.0Mbits/sec,49.0Mbits/sec
4.82Mbits/sec,4.17Mbits/sec,4.17Mbits/sec,5.73Mbits/sec,7.82Mbits/sec,3.13Mbits/sec,5.21Mbits/sec,3.65Mbits/sec,3.65Mbits/sec,3.65Mbits/sec
3.03Mbits/sec,2.09Mbits/sec,2.08Mbits/sec,2.09Mbits/sec,5.74Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,1.04Mbits/sec,2.09Mbits/sec,2.08Mbits/sec
2.90Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,5.21Mbits/sec,2.09Mbits/sec,2.08Mbits/sec,2.09Mbits/sec,2.08Mbits/sec,2.09Mbits/sec,2.09Mbits/sec
46.1Mbits/sec,54.2Mbits/sec,42.2Mbits/sec,53.2Mbits/sec,48.0Mbits/sec,45.9Mbits/sec,45.9Mbits/sec,50.6Mbits/sec,50.0Mbits/sec,44.8Mbits/sec
3.74Mbits/sec,1.85Mbits/sec,6.58Mbits/sec,12.0Mbits/sec,3.13Mbits/sec,0.00bits/sec,3.13Mbits/sec,3.13Mbits/sec,3.13Mbits/sec,0.00bits/sec
53.5Mbits/sec,48.5Mbits/sec,48.0Mbits/sec,45.9Mbits/sec,52.7Mbits/sec,47.4Mbits/sec,48.5Mbits/sec,49.0Mbits/sec,44.3Mbits/sec,51.6Mbits/sec
2.96Mbits/sec,2.09Mbits/sec,2.08Mbits/sec,4.69Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.08Mbits/sec,2.09Mbits/sec,2.09Mbits/sec
6.34Mbits/sec,8.86Mbits/sec,13.6Mbits/sec,16.7Mbits/sec,19.8Mbits/sec,25.0Mbits/sec,30.8Mbits/sec,39.6Mbits/sec,47.4Mbits/sec,51.1Mbits/sec
5.32Mbits/sec,4.69Mbits/sec,3.13Mbits/sec,4.17Mbits/sec,8.34Mbits/sec,3.13Mbits/sec,4.69Mbits/sec,3.13Mbits/sec,4.69Mbits/sec,3.13Mbits/sec
18.2Mbits/sec,20.3Mbits/sec,24.0Mbits/sec,29.7Mbits/sec,40.1Mbits/sec,46.4Mbits/sec,49.0Mbits/sec,48.5Mbits/sec,48.0Mbits/sec,51.1Mbits/sec
3.94Mbits/sec,2.09Mbits/sec,1.04Mbits/sec,5.74Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,2.08Mbits/sec,1.04Mbits/sec,2.09Mbits/sec
5.79Mbits/sec,4.17Mbits/sec,3.13Mbits/sec,5.74Mbits/sec,6.78Mbits/sec,4.69Mbits/sec,3.13Mbits/sec,4.69Mbits/sec,3.13Mbits/sec,4.69Mbits/sec
44.0Mbits/sec,52.1Mbits/sec,48.0Mbits/sec,49.5Mbits/sec,45.3Mbits/sec,48.0Mbits/sec,49.0Mbits/sec,51.1Mbits/sec,44.8Mbits/sec,52.1Mbits/sec
5.40Mbits/sec,4.17Mbits/sec,4.17Mbits/sec,4.17Mbits/sec,6.78Mbits/sec,5.21Mbits/sec,3.13Mbits/sec,4.69Mbits/sec,3.13Mbits/sec,4.69Mbits/sec
