file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-12.00,12.00-13.00,13.00-13.94,13.00-14.00,14.00-15.00,15.00-16.00,16.00-16.11,16.00-17.00,17.00-17.55,12.00-12.66,12.00-12.63,14.00-14.36,17.00-18.00,18.00-19.00,19.00-20.00,20.00-20.19,20.00-21.00,21.00-21.50,19.00-19.42,14.00-14.59,16.00-16.60,18.00-18.65,20.00-20.25,13.00-13.98,14.00-14.16,13.00-13.96,14.00-14.49,20.00-20.51,16.00-16.54,16.00-16.10,14.00-14.20,12.00-12.58,11.00-11.15,14.00-14.14
iperf3_result_20231019172331.txt,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,11.6Kbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171924.txt,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,11.6Kbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172949.txt,799Kbits/sec,1.24Mbits/sec,3.28Mbits/sec,1.41Mbits/sec,614Kbits/sec,0.00bits/sec,1.62Mbits/sec,11.6Kbits/sec,11.6Kbits/sec,34.7Kbits/sec,0.00bits/sec,10.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172948.txt,3.90Mbits/sec,7.33Mbits/sec,9.79Mbits/sec,38.2Mbits/sec,21.1Mbits/sec,24.4Mbits/sec,31.4Mbits/sec,38.3Mbits/sec,45.2Mbits/sec,51.2Mbits/sec,32.9Mbits/sec,10.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171845.txt,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,>= 11.00,0.00bits/sec,0.00bits/sec,,0.00bits/sec,0.00bits/sec,0.00bits/sec,,0.00bits/sec,,,,,0.00bits/sec,0.00bits/sec,0.00bits/sec,,0.00bits/sec,0.00bits/sec,,,,,,,,,,,,,,,,
iperf3_result_20231019172800.txt,0.00bits/sec,0.00bits/sec,116Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,>= 11.00,0.00bits/sec,0.00bits/sec,,11.6Kbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019173301.txt,9.56Mbits/sec,15.4Mbits/sec,15.7Mbits/sec,15.6Mbits/sec,14.7Mbits/sec,18.5Mbits/sec,9.89Mbits/sec,8.32Mbits/sec,139Kbits/sec,1.70Mbits/sec,3.47Mbits/sec,10.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019173116.txt,5.51Mbits/sec,10.4Mbits/sec,11.9Mbits/sec,12.8Mbits/sec,12.2Mbits/sec,11.2Mbits/sec,11.6Mbits/sec,11.7Mbits/sec,12.6Mbits/sec,14.3Mbits/sec,21.1Mbits/sec,10.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172234.txt,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,23.2Kbits/sec,46.3Kbits/sec,92.7Kbits/sec,185Kbits/sec,220Kbits/sec,0.00bits/sec,0.00bits/sec,>= 11.00,0.00bits/sec,0.00bits/sec,,0.00bits/sec,0.00bits/sec,0.00bits/sec,,0.00bits/sec,,,,,0.00bits/sec,0.00bits/sec,,,,,0.00bits/sec,,,,,,,,,,,,,,,
iperf3_result_20231019171852.txt,0.00bits/sec,0.00bits/sec,81.1Kbits/sec,116Kbits/sec,116Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,11.6Kbits/sec,>= 11.00,81.1Kbits/sec,0.00bits/sec,,0.00bits/sec,,,,,,,,,,,,,,,,0.00bits/sec,,,,,,,,,,,,,,
iperf3_result_20231019172350.txt,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019173311.txt,13.7Mbits/sec,15.0Mbits/sec,14.8Mbits/sec,15.5Mbits/sec,17.5Mbits/sec,23.8Mbits/sec,29.5Mbits/sec,35.4Mbits/sec,42.2Mbits/sec,47.7Mbits/sec,54.5Mbits/sec,10.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172557.txt,0.00bits/sec,0.00bits/sec,116Kbits/sec,232Kbits/sec,278Kbits/sec,683Kbits/sec,510Kbits/sec,556Kbits/sec,568Kbits/sec,568Kbits/sec,591Kbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171738.txt,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,11.6Kbits/sec,81.1Kbits/sec,116Kbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171857.txt,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,11.6Kbits/sec,23.2Kbits/sec,34.8Kbits/sec,57.9Kbits/sec,81.1Kbits/sec,>= 11.00,46.3Kbits/sec,81.1Kbits/sec,,34.8Kbits/sec,34.8Kbits/sec,0.00bits/sec,,,,,,,,,,,,,,,0.00bits/sec,,,,,,,,,,,,,
iperf3_result_20231019173105.txt,15.3Mbits/sec,16.2Mbits/sec,15.4Mbits/sec,14.7Mbits/sec,17.1Mbits/sec,24.5Mbits/sec,31.1Mbits/sec,38.1Mbits/sec,42.8Mbits/sec,38.9Mbits/sec,37.5Mbits/sec,10.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171504.txt,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,11.6Kbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172408.txt,0.00bits/sec,0.00bits/sec,116Kbits/sec,232Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,11.6Kbits/sec,0.00bits/sec,34.8Kbits/sec,69.5Kbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172636.txt,0.00bits/sec,0.00bits/sec,46.3Kbits/sec,81.1Kbits/sec,92.7Kbits/sec,69.5Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172820.txt,0.00bits/sec,0.00bits/sec,116Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,11.6Kbits/sec,57.9Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,>= 11.00,0.00bits/sec,11.6Kbits/sec,,46.3Kbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172613.txt,0.00bits/sec,0.00bits/sec,116Kbits/sec,104Kbits/sec,92.7Kbits/sec,23.2Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,>= 11.00,0.00bits/sec,11.6Kbits/sec,,46.3Kbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019173055.txt,12.8Mbits/sec,14.4Mbits/sec,14.2Mbits/sec,13.9Mbits/sec,18.3Mbits/sec,15.4Mbits/sec,4.32Mbits/sec,0.00bits/sec,12.2Mbits/sec,6.11Mbits/sec,11.6Mbits/sec,10.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019173322.txt,13.3Mbits/sec,16.0Mbits/sec,16.2Mbits/sec,15.7Mbits/sec,17.3Mbits/sec,24.1Mbits/sec,29.8Mbits/sec,36.1Mbits/sec,42.5Mbits/sec,48.8Mbits/sec,52.1Mbits/sec,10.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171509.txt,0.00bits/sec,0.00bits/sec,116Kbits/sec,232Kbits/sec,463Kbits/sec,626Kbits/sec,660Kbits/sec,718Kbits/sec,869Kbits/sec,429Kbits/sec,0.00bits/sec,>= 11.00,0.00bits/sec,0.00bits/sec,,0.00bits/sec,0.00bits/sec,0.00bits/sec,,0.00bits/sec,,,,,0.00bits/sec,,,,,,,,,17.8Kbits/sec,,,,,,,,,,,,
iperf3_result_20231019172148.txt,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,11.6Kbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172823.txt,0.00bits/sec,0.00bits/sec,81.1Kbits/sec,116Kbits/sec,116Kbits/sec,116Kbits/sec,185Kbits/sec,278Kbits/sec,417Kbits/sec,626Kbits/sec,0.00bits/sec,>= 11.00,11.6Kbits/sec,0.00bits/sec,,0.00bits/sec,11.6Kbits/sec,0.00bits/sec,,0.00bits/sec,,,,,11.6Kbits/sec,46.3Kbits/sec,69.5Kbits/sec,,,,,,,,0.00bits/sec,,,,,,,,,,,
iperf3_result_20231019173240.txt,13.8Mbits/sec,12.8Mbits/sec,13.6Mbits/sec,14.1Mbits/sec,16.5Mbits/sec,20.7Mbits/sec,17.9Mbits/sec,6.44Mbits/sec,11.7Mbits/sec,108Kbits/sec,181Kbits/sec,10.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171709.txt,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,11.6Kbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171522.txt,0.00bits/sec,0.00bits/sec,116Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,11.6Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,>= 11.00,0.00bits/sec,11.6Kbits/sec,,,,,,,,,,,,,,,,,,,,,,0.00bits/sec,,,,,,,,,,
iperf3_result_20231019173137.txt,9.36Mbits/sec,12.0Mbits/sec,12.9Mbits/sec,14.9Mbits/sec,15.2Mbits/sec,15.5Mbits/sec,23.0Mbits/sec,21.1Mbits/sec,18.2Mbits/sec,12.8Mbits/sec,0.00bits/sec,10.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172229.txt,0.00bits/sec,0.00bits/sec,104Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,>= 11.00,0.00bits/sec,11.6Kbits/sec,,23.2Kbits/sec,,,,,,,,,,,,,,,,,,,,,0.00bits/sec,,,,,,,,,
