file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-12.00,12.00-13.00,13.00-13.94,12.00-12.36,11.00-11.06,13.00-14.00,14.00-14.70,13.00-13.96,13.00-13.98,14.00-14.20,14.00-14.40,14.00-14.16,13.00-13.78,11.00-11.03,14.00-15.00,15.00-16.00,16.00-16.50,13.00-13.95
iperf3_result_20231019171713.txt,0.00bits/sec,8.60Mbits/sec,8.24Mbits/sec,7.62Mbits/sec,10.2Mbits/sec,8.49Mbits/sec,7.82Mbits/sec,8.99Mbits/sec,8.42Mbits/sec,7.91Mbits/sec,8.96Mbits/sec,>= 11.00,34.7Kbits/sec,0.00bits/sec,,,,0.00bits/sec,,,,,,,,,,,,
iperf3_result_20231019171920.txt,0.00bits/sec,8.73Mbits/sec,8.24Mbits/sec,8.40Mbits/sec,8.56Mbits/sec,8.98Mbits/sec,8.47Mbits/sec,6.20Mbits/sec,7.10Mbits/sec,6.89Mbits/sec,6.65Mbits/sec,>= 11.00,34.7Kbits/sec,0.00bits/sec,,,,0.00bits/sec,,,,,,0.00bits/sec,,,,,,
iperf3_result_20231019172352.txt,0.00bits/sec,8.73Mbits/sec,9.05Mbits/sec,8.73Mbits/sec,8.97Mbits/sec,9.20Mbits/sec,8.94Mbits/sec,9.26Mbits/sec,8.65Mbits/sec,8.41Mbits/sec,8.41Mbits/sec,>= 11.00,0.00bits/sec,0.00bits/sec,,,,0.00bits/sec,,,,,,,,,,,,
iperf3_result_20231019173055.txt,69.3Mbits/sec,77.4Mbits/sec,83.6Mbits/sec,80.9Mbits/sec,79.0Mbits/sec,77.9Mbits/sec,88.4Mbits/sec,74.8Mbits/sec,88.6Mbits/sec,97.5Mbits/sec,93.3Mbits/sec,10.18,,,,,,,,,,,,,,,,,,
iperf3_result_20231019173322.txt,74.4Mbits/sec,77.9Mbits/sec,77.4Mbits/sec,82.5Mbits/sec,80.6Mbits/sec,73.6Mbits/sec,74.2Mbits/sec,67.4Mbits/sec,59.9Mbits/sec,59.4Mbits/sec,56.5Mbits/sec,10.24,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172823.txt,0.00bits/sec,8.65Mbits/sec,8.60Mbits/sec,9.65Mbits/sec,10.3Mbits/sec,10.3Mbits/sec,9.84Mbits/sec,9.92Mbits/sec,8.76Mbits/sec,9.65Mbits/sec,9.01Mbits/sec,>= 11.00,0.00bits/sec,0.00bits/sec,,,,0.00bits/sec,,,,,,,,,,,,
iperf3_result_20231019173240.txt,70.6Mbits/sec,82.9Mbits/sec,80.6Mbits/sec,76.9Mbits/sec,81.0Mbits/sec,77.4Mbits/sec,81.6Mbits/sec,84.3Mbits/sec,83.9Mbits/sec,96.5Mbits/sec,92.4Mbits/sec,10.21,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172412.txt,0.00bits/sec,6.99Mbits/sec,7.82Mbits/sec,9.90Mbits/sec,9.20Mbits/sec,10.0Mbits/sec,8.16Mbits/sec,9.19Mbits/sec,8.80Mbits/sec,6.24Mbits/sec,8.72Mbits/sec,>= 11.00,0.00bits/sec,0.00bits/sec,,,,0.00bits/sec,,,,,,,,,,,,
iperf3_result_20231019172942.txt,60.9Mbits/sec,70.3Mbits/sec,71.7Mbits/sec,69.2Mbits/sec,69.3Mbits/sec,79.0Mbits/sec,91.4Mbits/sec,83.3Mbits/sec,82.6Mbits/sec,86.8Mbits/sec,99.6Mbits/sec,10.18,,,,,,,,,,,,,,,,,,
iperf3_result_20231019173137.txt,70.1Mbits/sec,83.2Mbits/sec,80.1Mbits/sec,76.7Mbits/sec,81.7Mbits/sec,84.3Mbits/sec,73.8Mbits/sec,76.0Mbits/sec,83.1Mbits/sec,85.7Mbits/sec,98.8Mbits/sec,10.19,,,,,,,,,,,,,,,,,,
