file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-11.05,11.00-11.06,11.00-11.26,11.00-11.16,11.00-11.13,11.00-11.01,11.00-11.07,11.00-11.03,11.00-11.17,11.00-11.04,11.00-11.51,11.00-11.36,11.00-11.47,11.00-11.23,11.00-11.02,11.00-11.09
iperf3_result_20231019183255.txt,5.10MBytes,5.86MBytes,5.98MBytes,5.76MBytes,6.30MBytes,5.72MBytes,5.20MBytes,6.31MBytes,6.15MBytes,6.15MBytes,5.89MBytes,10.97,,,,,,,,,,,,,,,,
iperf3_result_20231019182605.txt,4.89MBytes,5.23MBytes,5.48MBytes,5.60MBytes,5.33MBytes,5.49MBytes,5.86MBytes,5.92MBytes,5.76MBytes,6.22MBytes,5.91MBytes,10.97,,,,,,,,,,,,,,,,
iperf3_result_20231019182412.txt,9.36MBytes,10.4MBytes,10.4MBytes,11.1MBytes,10.8MBytes,11.1MBytes,11.5MBytes,10.9MBytes,10.5MBytes,11.2MBytes,9.81MBytes,>= 11.00,,,,1.49MBytes,,,,,,,,,,,,
iperf3_result_20231019183042.txt,5.01MBytes,5.69MBytes,5.74MBytes,5.78MBytes,6.30MBytes,6.13MBytes,5.84MBytes,5.42MBytes,5.63MBytes,6.08MBytes,5.24MBytes,>= 11.00,,,,,867KBytes,,,,,,,,,,,
iperf3_result_20231019182638.txt,4.15MBytes,5.08MBytes,5.33MBytes,5.26MBytes,5.51MBytes,5.30MBytes,2.51MBytes,2.28MBytes,3.46MBytes,5.42MBytes,6.02MBytes,>= 11.00,,,,,,119KBytes,,,,,,,,,,
iperf3_result_20231019182957.txt,4.68MBytes,5.65MBytes,5.47MBytes,5.19MBytes,4.73MBytes,6.11MBytes,5.43MBytes,5.55MBytes,5.56MBytes,5.97MBytes,5.61MBytes,>= 11.00,,,,,,,454KBytes,,,,,,,,,
iperf3_result_20231019183530.txt,6.16MBytes,5.63MBytes,5.23MBytes,6.11MBytes,6.39MBytes,6.04MBytes,6.31MBytes,5.79MBytes,6.14MBytes,6.36MBytes,6.16MBytes,10.95,,,,,,,,,,,,,,,,
iperf3_result_20231019183732.txt,5.69MBytes,6.29MBytes,6.11MBytes,6.20MBytes,6.22MBytes,6.45MBytes,5.95MBytes,5.80MBytes,6.23MBytes,6.23MBytes,6.05MBytes,10.97,,,,,,,,,,,,,,,,
iperf3_result_20231019183519.txt,5.16MBytes,6.13MBytes,5.83MBytes,6.14MBytes,5.99MBytes,6.27MBytes,6.19MBytes,6.40MBytes,6.58MBytes,6.35MBytes,6.18MBytes,10.95,,,,,,,,,,,,,,,,
iperf3_result_20231019183445.txt,6.01MBytes,6.18MBytes,6.59MBytes,6.19MBytes,6.13MBytes,6.13MBytes,6.50MBytes,6.37MBytes,6.48MBytes,6.24MBytes,6.24MBytes,10.95,,,,,,,,,,,,,,,,
iperf3_result_20231019183350.txt,5.08MBytes,5.71MBytes,5.86MBytes,6.14MBytes,5.76MBytes,6.15MBytes,5.86MBytes,5.86MBytes,5.68MBytes,6.10MBytes,6.12MBytes,10.97,,,,,,,,,,,,,,,,
iperf3_result_20231019183754.txt,6.03MBytes,6.32MBytes,6.35MBytes,6.38MBytes,6.15MBytes,6.28MBytes,5.81MBytes,4.46MBytes,5.69MBytes,5.87MBytes,6.20MBytes,10.98,,,,,,,,,,,,,,,,
iperf3_result_20231019182339.txt,9.52MBytes,11.0MBytes,10.5MBytes,11.4MBytes,10.7MBytes,11.2MBytes,10.7MBytes,11.2MBytes,11.4MBytes,10.6MBytes,10.6MBytes,10.97,,,,,,,,,,,,,,,,
iperf3_result_20231019182649.txt,4.56MBytes,5.59MBytes,5.58MBytes,5.58MBytes,5.71MBytes,5.80MBytes,5.69MBytes,5.54MBytes,6.11MBytes,6.11MBytes,6.50MBytes,>= 11.00,682KBytes,,,,,,,,,,,,,,,
iperf3_result_20231019183423.txt,5.90MBytes,6.23MBytes,6.59MBytes,6.45MBytes,6.23MBytes,5.90MBytes,6.31MBytes,6.40MBytes,5.12MBytes,6.42MBytes,5.99MBytes,>= 11.00,,154KBytes,,,,,,,,,,,,,,
iperf3_result_20231019182701.txt,3.79MBytes,5.16MBytes,5.76MBytes,6.37MBytes,6.13MBytes,5.81MBytes,5.79MBytes,6.05MBytes,6.19MBytes,6.05MBytes,6.15MBytes,10.94,,,,,,,,,,,,,,,,
iperf3_result_20231019182924.txt,4.62MBytes,5.46MBytes,5.63MBytes,5.87MBytes,5.80MBytes,6.13MBytes,5.88MBytes,5.08MBytes,6.08MBytes,6.13MBytes,6.21MBytes,10.98,,,,,,,,,,,,,,,,
iperf3_result_20231019183233.txt,5.29MBytes,5.96MBytes,6.00MBytes,6.08MBytes,6.00MBytes,5.89MBytes,5.26MBytes,5.84MBytes,5.30MBytes,5.25MBytes,5.94MBytes,>= 11.00,,,,,,,,139KBytes,,,,,,,,
iperf3_result_20231019183019.txt,5.02MBytes,5.94MBytes,5.44MBytes,5.20MBytes,5.92MBytes,6.09MBytes,5.92MBytes,5.94MBytes,5.62MBytes,5.70MBytes,5.68MBytes,>= 11.00,,,,,,,420KBytes,,,,,,,,,
iperf3_result_20231019183743.txt,5.81MBytes,5.87MBytes,5.78MBytes,6.29MBytes,6.47MBytes,6.14MBytes,6.02MBytes,6.09MBytes,6.17MBytes,6.41MBytes,6.19MBytes,>= 11.00,,,,,,46.7KBytes,,,,,,,,,,
iperf3_result_20231019183030.txt,5.12MBytes,4.49MBytes,6.05MBytes,6.06MBytes,6.12MBytes,5.86MBytes,6.14MBytes,6.30MBytes,5.81MBytes,6.24MBytes,5.64MBytes,>= 11.00,,,,,,,424KBytes,,,,,,,,,
