file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,0.00-1.01,1.01-2.00
iperf3_result_20231019174823.txt,33.8Mbits/sec,26.7Mbits/sec,21.8Mbits/sec,23.9Mbits/sec,22.1Mbits/sec,38.1Mbits/sec,30.0Mbits/sec,29.6Mbits/sec,37.6Mbits/sec,35.7Mbits/sec,,
iperf3_result_20231019174228.txt,24.2Mbits/sec,46.1Mbits/sec,25.4Mbits/sec,25.2Mbits/sec,24.0Mbits/sec,24.9Mbits/sec,23.0Mbits/sec,24.7Mbits/sec,23.1Mbits/sec,23.7Mbits/sec,,
iperf3_result_20231019175120.txt,50.4Mbits/sec,51.3Mbits/sec,49.9Mbits/sec,51.1Mbits/sec,51.0Mbits/sec,48.0Mbits/sec,45.9Mbits/sec,47.4Mbits/sec,49.4Mbits/sec,48.4Mbits/sec,,
iperf3_result_20231019174606.txt,35.0Mbits/sec,26.6Mbits/sec,22.6Mbits/sec,23.2Mbits/sec,24.5Mbits/sec,36.7Mbits/sec,43.4Mbits/sec,41.8Mbits/sec,42.1Mbits/sec,37.4Mbits/sec,,
iperf3_result_20231019173627.txt,94.6Mbits/sec,92.5Mbits/sec,79.0Mbits/sec,90.7Mbits/sec,97.6Mbits/sec,92.0Mbits/sec,94.4Mbits/sec,94.0Mbits/sec,95.2Mbits/sec,95.8Mbits/sec,,
iperf3_result_20231019174834.txt,33.2Mbits/sec,25.8Mbits/sec,27.0Mbits/sec,24.4Mbits/sec,22.6Mbits/sec,22.9Mbits/sec,40.6Mbits/sec,37.2Mbits/sec,27.5Mbits/sec,31.5Mbits/sec,,
iperf3_result_20231019174217.txt,23.9Mbits/sec,36.5Mbits/sec,26.8Mbits/sec,27.1Mbits/sec,24.2Mbits/sec,21.2Mbits/sec,22.0Mbits/sec,23.0Mbits/sec,24.2Mbits/sec,24.1Mbits/sec,,
iperf3_result_20231019175131.txt,46.8Mbits/sec,45.3Mbits/sec,48.1Mbits/sec,48.2Mbits/sec,49.1Mbits/sec,48.7Mbits/sec,46.3Mbits/sec,48.7Mbits/sec,47.6Mbits/sec,48.7Mbits/sec,,
iperf3_result_20231019174207.txt,21.5Mbits/sec,34.9Mbits/sec,28.4Mbits/sec,23.1Mbits/sec,20.5Mbits/sec,20.5Mbits/sec,24.3Mbits/sec,22.5Mbits/sec,24.1Mbits/sec,23.4Mbits/sec,,
iperf3_result_20231019174617.txt,27.5Mbits/sec,22.4Mbits/sec,23.2Mbits/sec,22.7Mbits/sec,23.8Mbits/sec,36.6Mbits/sec,38.3Mbits/sec,37.9Mbits/sec,41.2Mbits/sec,39.9Mbits/sec,,
iperf3_result_20231019174401.txt,35.8Mbits/sec,34.3Mbits/sec,29.3Mbits/sec,28.5Mbits/sec,24.5Mbits/sec,24.0Mbits/sec,24.8Mbits/sec,24.5Mbits/sec,25.3Mbits/sec,25.0Mbits/sec,,
iperf3_result_20231019173637.txt,91.6Mbits/sec,94.4Mbits/sec,94.6Mbits/sec,90.6Mbits/sec,88.2Mbits/sec,93.2Mbits/sec,91.5Mbits/sec,68.0Mbits/sec,68.9Mbits/sec,68.0Mbits/sec,,
iperf3_result_20231019173557.txt,91.9Mbits/sec,84.5Mbits/sec,89.7Mbits/sec,75.4Mbits/sec,89.2Mbits/sec,89.5Mbits/sec,86.1Mbits/sec,84.3Mbits/sec,89.1Mbits/sec,90.8Mbits/sec,,
iperf3_result_20231019174238.txt,24.8Mbits/sec,39.8Mbits/sec,30.1Mbits/sec,24.8Mbits/sec,23.6Mbits/sec,25.5Mbits/sec,22.4Mbits/sec,26.4Mbits/sec,23.2Mbits/sec,21.8Mbits/sec,,
iperf3_result_20231019174628.txt,32.6Mbits/sec,24.4Mbits/sec,20.5Mbits/sec,24.3Mbits/sec,24.8Mbits/sec,38.1Mbits/sec,43.9Mbits/sec,42.7Mbits/sec,42.8Mbits/sec,42.1Mbits/sec,,
iperf3_result_20231019174013.txt,24.8Mbits/sec,27.7Mbits/sec,40.2Mbits/sec,27.8Mbits/sec,24.1Mbits/sec,23.7Mbits/sec,23.5Mbits/sec,22.6Mbits/sec,21.0Mbits/sec,21.9Mbits/sec,,
