file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-11.05,11.00-11.06,11.00-11.27,11.00-11.01,11.00-11.07,11.00-11.13,11.00-11.02,11.00-11.08,11.00-11.17,11.00-11.04,11.00-11.52,11.00-11.00,11.00-11.35,11.00-11.16,11.00-11.47,11.00-11.23,11.00-11.09,11.00-11.03
iperf3_result_20231019182605.txt,40.1Mbits/sec,45.8Mbits/sec,48.0Mbits/sec,48.1Mbits/sec,46.5Mbits/sec,47.8Mbits/sec,51.2Mbits/sec,50.9Mbits/sec,49.9Mbits/sec,52.4Mbits/sec,52.1Mbits/sec,10.98,,,,,,,,,,,,,,,,,,
iperf3_result_20231019182638.txt,40.5Mbits/sec,44.9Mbits/sec,48.8Mbits/sec,49.2Mbits/sec,50.1Mbits/sec,48.9Mbits/sec,25.3Mbits/sec,19.3Mbits/sec,30.3Mbits/sec,50.3Mbits/sec,52.4Mbits/sec,>= 11.00,,,,29.8Mbits/sec,,,,,,,,,,,,,,
iperf3_result_20231019182957.txt,39.6Mbits/sec,47.3Mbits/sec,45.8Mbits/sec,43.4Mbits/sec,39.6Mbits/sec,51.3Mbits/sec,45.4Mbits/sec,47.2Mbits/sec,46.5Mbits/sec,50.5Mbits/sec,47.1Mbits/sec,>= 11.00,,,,,49.3Mbits/sec,,,,,,,,,,,,,
iperf3_result_20231019183530.txt,49.6Mbits/sec,49.7Mbits/sec,44.0Mbits/sec,53.4Mbits/sec,54.4Mbits/sec,52.3Mbits/sec,53.4Mbits/sec,46.1Mbits/sec,51.3Mbits/sec,54.2Mbits/sec,53.9Mbits/sec,10.94,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183732.txt,45.8Mbits/sec,53.7Mbits/sec,52.5Mbits/sec,52.8Mbits/sec,52.5Mbits/sec,54.4Mbits/sec,50.8Mbits/sec,48.6Mbits/sec,53.1Mbits/sec,52.0Mbits/sec,54.4Mbits/sec,10.99,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183041.txt,42.5Mbits/sec,47.7Mbits/sec,48.3Mbits/sec,48.5Mbits/sec,53.1Mbits/sec,51.5Mbits/sec,49.4Mbits/sec,45.5Mbits/sec,46.9Mbits/sec,51.1Mbits/sec,44.2Mbits/sec,>= 11.00,,,,,,54.0Mbits/sec,,,,,,,,,,,,
iperf3_result_20231019183519.txt,45.2Mbits/sec,51.5Mbits/sec,49.0Mbits/sec,51.4Mbits/sec,50.9Mbits/sec,52.3Mbits/sec,51.9Mbits/sec,53.4Mbits/sec,56.1Mbits/sec,53.8Mbits/sec,55.2Mbits/sec,10.94,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183445.txt,50.5Mbits/sec,53.3Mbits/sec,55.3Mbits/sec,53.8Mbits/sec,49.9Mbits/sec,50.8Mbits/sec,54.7Mbits/sec,52.7Mbits/sec,53.8Mbits/sec,51.6Mbits/sec,53.6Mbits/sec,10.94,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183350.txt,42.9Mbits/sec,48.0Mbits/sec,49.8Mbits/sec,51.9Mbits/sec,48.5Mbits/sec,51.5Mbits/sec,49.7Mbits/sec,49.8Mbits/sec,47.9Mbits/sec,50.6Mbits/sec,52.6Mbits/sec,10.97,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183754.txt,51.1Mbits/sec,52.0Mbits/sec,51.1Mbits/sec,52.9Mbits/sec,52.3Mbits/sec,52.5Mbits/sec,50.1Mbits/sec,36.1Mbits/sec,48.3Mbits/sec,48.1Mbits/sec,52.8Mbits/sec,10.98,,,,,,,,,,,,,,,,,,
iperf3_result_20231019182649.txt,50.4Mbits/sec,51.5Mbits/sec,51.8Mbits/sec,52.3Mbits/sec,52.7Mbits/sec,53.6Mbits/sec,53.5Mbits/sec,51.1Mbits/sec,52.0Mbits/sec,46.1Mbits/sec,48.9Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183423.txt,48.3Mbits/sec,51.7Mbits/sec,55.1Mbits/sec,51.8Mbits/sec,51.4Mbits/sec,49.7Mbits/sec,52.5Mbits/sec,53.4Mbits/sec,42.8Mbits/sec,53.1Mbits/sec,50.2Mbits/sec,>= 11.00,,21.3Mbits/sec,,,,,,,,,,,,,,,,
iperf3_result_20231019182701.txt,34.4Mbits/sec,46.8Mbits/sec,51.6Mbits/sec,48.7Mbits/sec,51.8Mbits/sec,53.0Mbits/sec,52.7Mbits/sec,52.9Mbits/sec,52.1Mbits/sec,54.9Mbits/sec,53.8Mbits/sec,10.95,,,,,,,,,,,,,,,,,,
iperf3_result_20231019182924.txt,44.6Mbits/sec,46.0Mbits/sec,47.6Mbits/sec,49.0Mbits/sec,48.9Mbits/sec,50.5Mbits/sec,49.3Mbits/sec,42.8Mbits/sec,50.8Mbits/sec,52.7Mbits/sec,53.9Mbits/sec,10.97,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183233.txt,45.2Mbits/sec,50.5Mbits/sec,51.1Mbits/sec,50.8Mbits/sec,50.1Mbits/sec,49.7Mbits/sec,44.9Mbits/sec,48.1Mbits/sec,44.8Mbits/sec,44.0Mbits/sec,49.3Mbits/sec,>= 11.00,,,,,,,35.9Mbits/sec,,,,,,,,,,,
