file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-11.05,11.00-11.06,11.00-11.26,11.00-11.16,11.00-11.13,11.00-11.01,11.00-11.07,11.00-11.03,11.00-11.17,11.00-11.04,11.00-11.51,11.00-11.36,11.00-11.47,11.00-11.23,11.00-11.02,11.00-11.09
iperf3_result_20231019183030.txt,43.0Mbits/sec,37.7Mbits/sec,50.8Mbits/sec,50.8Mbits/sec,51.4Mbits/sec,49.2Mbits/sec,51.5Mbits/sec,52.9Mbits/sec,48.8Mbits/sec,52.3Mbits/sec,47.3Mbits/sec,>= 11.00,,,,,,,53.4Mbits/sec,,,,,,,,,
iperf3_result_20231019182306.txt,65.5Mbits/sec,89.4Mbits/sec,87.6Mbits/sec,82.7Mbits/sec,88.0Mbits/sec,91.8Mbits/sec,90.3Mbits/sec,95.5Mbits/sec,93.7Mbits/sec,95.9Mbits/sec,101Mbits/sec,10.96,,,,,,,,,,,,,,,,
iperf3_result_20231019182851.txt,37.8Mbits/sec,45.0Mbits/sec,45.7Mbits/sec,44.9Mbits/sec,48.3Mbits/sec,48.1Mbits/sec,45.4Mbits/sec,48.6Mbits/sec,48.6Mbits/sec,50.0Mbits/sec,40.5Mbits/sec,>= 11.00,,,,,,,,,55.7Mbits/sec,,,,,,,
iperf3_result_20231019183540.txt,52.2Mbits/sec,56.4Mbits/sec,51.9Mbits/sec,53.2Mbits/sec,46.2Mbits/sec,54.9Mbits/sec,47.3Mbits/sec,51.2Mbits/sec,52.5Mbits/sec,52.1Mbits/sec,52.1Mbits/sec,10.98,,,,,,,,,,,,,,,,
iperf3_result_20231019183434.txt,51.0Mbits/sec,49.3Mbits/sec,47.9Mbits/sec,48.3Mbits/sec,48.8Mbits/sec,52.1Mbits/sec,51.8Mbits/sec,49.9Mbits/sec,55.2Mbits/sec,49.4Mbits/sec,52.2Mbits/sec,10.99,,,,,,,,,,,,,,,,
iperf3_result_20231019183805.txt,50.7Mbits/sec,53.7Mbits/sec,53.5Mbits/sec,50.7Mbits/sec,52.5Mbits/sec,54.9Mbits/sec,49.8Mbits/sec,52.4Mbits/sec,52.2Mbits/sec,53.4Mbits/sec,49.7Mbits/sec,>= 11.00,,,,,,,,,,54.5Mbits/sec,,,,,,
iperf3_result_20231019183636.txt,48.0Mbits/sec,52.6Mbits/sec,51.4Mbits/sec,53.1Mbits/sec,51.5Mbits/sec,50.2Mbits/sec,51.2Mbits/sec,53.6Mbits/sec,33.8Mbits/sec,20.2Mbits/sec,26.0Mbits/sec,>= 11.00,,,,,,,,,,,47.6Mbits/sec,,,,,
iperf3_result_20231019182510.txt,41.6Mbits/sec,49.7Mbits/sec,50.2Mbits/sec,51.5Mbits/sec,50.6Mbits/sec,51.8Mbits/sec,52.7Mbits/sec,52.3Mbits/sec,55.6Mbits/sec,53.9Mbits/sec,54.4Mbits/sec,10.99,,,,,,,,,,,,,,,,
iperf3_result_20231019182712.txt,40.9Mbits/sec,46.7Mbits/sec,49.6Mbits/sec,51.6Mbits/sec,52.3Mbits/sec,52.3Mbits/sec,52.0Mbits/sec,49.5Mbits/sec,47.4Mbits/sec,50.1Mbits/sec,53.0Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,
iperf3_result_20231019182935.txt,38.0Mbits/sec,48.1Mbits/sec,47.3Mbits/sec,49.1Mbits/sec,49.6Mbits/sec,49.0Mbits/sec,51.7Mbits/sec,50.0Mbits/sec,45.2Mbits/sec,51.3Mbits/sec,52.3Mbits/sec,10.98,,,,,,,,,,,,,,,,
iperf3_result_20231019183008.txt,43.7Mbits/sec,46.1Mbits/sec,44.1Mbits/sec,46.7Mbits/sec,47.5Mbits/sec,46.3Mbits/sec,43.3Mbits/sec,41.3Mbits/sec,49.6Mbits/sec,48.7Mbits/sec,52.3Mbits/sec,10.99,,,,,,,,,,,,,,,,
iperf3_result_20231019182317.txt,78.6Mbits/sec,88.2Mbits/sec,89.3Mbits/sec,92.7Mbits/sec,85.2Mbits/sec,92.4Mbits/sec,90.2Mbits/sec,86.1Mbits/sec,93.1Mbits/sec,96.3Mbits/sec,101Mbits/sec,10.95,,,,,,,,,,,,,,,,
iperf3_result_20231019182459.txt,39.6Mbits/sec,45.3Mbits/sec,37.7Mbits/sec,46.3Mbits/sec,48.5Mbits/sec,48.2Mbits/sec,45.8Mbits/sec,48.2Mbits/sec,46.1Mbits/sec,45.9Mbits/sec,49.2Mbits/sec,>= 11.00,,,,,,92.8Mbits/sec,,,,,,,,,,
iperf3_result_20231019182840.txt,42.5Mbits/sec,45.2Mbits/sec,47.4Mbits/sec,47.6Mbits/sec,49.2Mbits/sec,47.3Mbits/sec,49.2Mbits/sec,52.3Mbits/sec,51.4Mbits/sec,51.7Mbits/sec,53.0Mbits/sec,10.94,,,,,,,,,,,,,,,,
iperf3_result_20231019183551.txt,50.2Mbits/sec,53.7Mbits/sec,53.2Mbits/sec,53.4Mbits/sec,51.3Mbits/sec,54.1Mbits/sec,52.0Mbits/sec,52.8Mbits/sec,55.5Mbits/sec,50.8Mbits/sec,29.6Mbits/sec,>= 11.00,,,,,,,,,,,,54.6Mbits/sec,,,,
iperf3_result_20231019183625.txt,51.8Mbits/sec,53.2Mbits/sec,53.4Mbits/sec,55.3Mbits/sec,54.2Mbits/sec,56.2Mbits/sec,45.7Mbits/sec,53.8Mbits/sec,53.0Mbits/sec,53.5Mbits/sec,52.2Mbits/sec,10.98,,,,,,,,,,,,,,,,
iperf3_result_20231019183816.txt,46.8Mbits/sec,51.7Mbits/sec,52.1Mbits/sec,47.9Mbits/sec,53.0Mbits/sec,51.7Mbits/sec,51.2Mbits/sec,48.2Mbits/sec,52.5Mbits/sec,54.5Mbits/sec,43.3Mbits/sec,>= 11.00,,,,49.4Mbits/sec,,,,,,,,,,,,
iperf3_result_20231019183221.txt,38.6Mbits/sec,44.2Mbits/sec,48.7Mbits/sec,44.5Mbits/sec,49.4Mbits/sec,50.0Mbits/sec,51.8Mbits/sec,48.2Mbits/sec,51.6Mbits/sec,49.7Mbits/sec,25.8Mbits/sec,>= 11.00,,,,,,,,,,,,,53.0Mbits/sec,,,
iperf3_result_20231019182328.txt,83.7Mbits/sec,92.2Mbits/sec,98.5Mbits/sec,75.5Mbits/sec,98.2Mbits/sec,98.8Mbits/sec,97.4Mbits/sec,98.9Mbits/sec,96.3Mbits/sec,88.7Mbits/sec,97.4Mbits/sec,10.70,,,,,,,,,,,,,,,,
iperf3_result_20231019183210.txt,43.9Mbits/sec,48.4Mbits/sec,50.1Mbits/sec,43.9Mbits/sec,46.2Mbits/sec,44.1Mbits/sec,50.4Mbits/sec,47.8Mbits/sec,48.5Mbits/sec,49.8Mbits/sec,49.4Mbits/sec,>= 11.00,,,,,,,,,,39.9Mbits/sec,,,,,,
iperf3_result_20231019182913.txt,42.8Mbits/sec,48.6Mbits/sec,55.4Mbits/sec,54.2Mbits/sec,55.0Mbits/sec,54.9Mbits/sec,53.0Mbits/sec,57.2Mbits/sec,52.4Mbits/sec,55.4Mbits/sec,51.5Mbits/sec,10.94,,,,,,,,,,,,,,,,
iperf3_result_20231019182734.txt,49.6Mbits/sec,47.2Mbits/sec,53.5Mbits/sec,50.3Mbits/sec,53.6Mbits/sec,52.3Mbits/sec,53.4Mbits/sec,54.4Mbits/sec,54.1Mbits/sec,50.9Mbits/sec,54.6Mbits/sec,10.96,,,,,,,,,,,,,,,,
iperf3_result_20231019183827.txt,47.8Mbits/sec,50.3Mbits/sec,53.3Mbits/sec,51.2Mbits/sec,44.1Mbits/sec,49.3Mbits/sec,53.4Mbits/sec,50.6Mbits/sec,55.3Mbits/sec,52.3Mbits/sec,54.2Mbits/sec,10.94,,,,,,,,,,,,,,,,
iperf3_result_20231019183614.txt,52.7Mbits/sec,52.1Mbits/sec,54.8Mbits/sec,55.1Mbits/sec,52.8Mbits/sec,50.4Mbits/sec,52.6Mbits/sec,54.8Mbits/sec,49.6Mbits/sec,53.8Mbits/sec,52.4Mbits/sec,10.98,,,,,,,,,,,,,,,,
iperf3_result_20231019182244.txt,54.0Mbits/sec,72.8Mbits/sec,80.2Mbits/sec,81.7Mbits/sec,87.6Mbits/sec,91.0Mbits/sec,93.8Mbits/sec,94.6Mbits/sec,98.3Mbits/sec,90.8Mbits/sec,98.3Mbits/sec,10.99,,,,,,,,,,,,,,,,
iperf3_result_20231019183401.txt,33.6Mbits/sec,50.3Mbits/sec,44.6Mbits/sec,53.8Mbits/sec,50.3Mbits/sec,53.9Mbits/sec,55.1Mbits/sec,52.2Mbits/sec,51.3Mbits/sec,51.9Mbits/sec,53.2Mbits/sec,10.98,,,,,,,,,,,,,,,,
iperf3_result_20231019182723.txt,45.7Mbits/sec,48.8Mbits/sec,49.0Mbits/sec,49.2Mbits/sec,49.8Mbits/sec,51.0Mbits/sec,48.2Mbits/sec,49.3Mbits/sec,39.7Mbits/sec,34.7Mbits/sec,53.4Mbits/sec,10.99,,,,,,,,,,,,,,,,
iperf3_result_20231019183603.txt,50.1Mbits/sec,53.3Mbits/sec,49.2Mbits/sec,52.2Mbits/sec,52.8Mbits/sec,49.7Mbits/sec,47.9Mbits/sec,52.2Mbits/sec,52.8Mbits/sec,51.3Mbits/sec,52.7Mbits/sec,10.98,,,,,,,,,,,,,,,,
iperf3_result_20231019183159.txt,41.4Mbits/sec,46.9Mbits/sec,40.3Mbits/sec,51.3Mbits/sec,48.4Mbits/sec,50.8Mbits/sec,48.3Mbits/sec,52.2Mbits/sec,52.3Mbits/sec,52.9Mbits/sec,53.4Mbits/sec,10.96,,,,,,,,,,,,,,,,
iperf3_result_20231019182521.txt,41.5Mbits/sec,44.1Mbits/sec,47.3Mbits/sec,48.8Mbits/sec,47.1Mbits/sec,46.9Mbits/sec,46.0Mbits/sec,48.8Mbits/sec,46.9Mbits/sec,47.2Mbits/sec,40.7Mbits/sec,>= 11.00,,,,,,,,,,,,,,48.9Mbits/sec,,
